S/N,Month,Terminal ID,Terminal Serial,Business Name,Payment Value,Payment Volume,Transfer Value,Transfer Volume,"Target PaymentValue",Target Met,"Days Since LastTransaction",Business Registration Date,Terminal Assignment Date,Last Transaction Date
25,April,2057XGUQ,P260300692719,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ILESHA1","6,045,754.43",170,0,0,"20,000.00",TRUE,0,,,
26,April,2070I9RG,P260301560110,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKOBO2","5,773,820.60",525,0,0,"20,000.00",TRUE,0,,,
27,April,2057XGVR,P260301086126,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ASABA","5,723,855.00",283,0,0,"20,000.00",TRUE,0,,,
28,April,2057WXRA,P260301328709,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOSOGBO 6","5,326,927.00",427,0,0,"20,000.00",TRUE,0,,,
29,April,2057XGVI,P260301671978,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY IDI OSE","5,213,580.00",356,0,0,"20,000.00",TRUE,0,,,
30,April,2057IWJK,P260301538672,"BOVAS & COMPANY LIMITED -Bovas And Company Ajibode","5,151,892.40",491,0,0,"20,000.00",TRUE,0,,,
31,April,2057XGVE,P260301086246,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OLOMI","5,074,320.00",146,0,0,"20,000.00",TRUE,0,,,
32,April,2057XGSF,P260301671402,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYMAJIDUN","5,057,814.00",276,0,0,"20,000.00",TRUE,0,,,
33,April,2070AQVM,P260301222508,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY TOLLGATE","5,018,458.96",251,0,0,"20,000.00",TRUE,0,,,
34,April,2057XGSK,P260301085216,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKURE7","4,954,012.00",466,0,0,"20,000.00",TRUE,0,,,
35,April,2070RV7O,P260301560119,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOKELELE","4,811,550.00",154,0,0,"20,000.00",TRUE,0,,,
36,April,2070RU7S,P260301616631,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ODOTA","4,671,583.60",195,0,0,"20,000.00",TRUE,0,,,
37,April,2070RY7V,P260301331290,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY IFE 4","4,637,710.00",306,0,0,"20,000.00",TRUE,0,,,
38,April,2070ASOI,P260301222509,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKOBO2","4,439,660.00",340,0,0,"20,000.00",TRUE,0,,,
39,April,2070RZ7H,P260300852461,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OWO","4,422,545.00",86,0,0,"20,000.00",TRUE,0,,,
40,April,2070I9HE,P260301131933,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OJODU","4,397,104.00",203,0,0,"20,000.00",TRUE,0,,,
41,April,2057XGTV,P260301085212,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY EDE","4,378,455.00",190,0,0,"20,000.00",TRUE,0,,,
42,April,2057XGUI,P260301336358,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKURE2","4,327,642.00",448,0,0,"20,000.00",TRUE,0,,,
43,April,2070AZSO,P260301165075,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOLUYOLE","4,254,808.00",307,0,0,"20,000.00",TRUE,0,,,
44,April,2057TZNC,P260300735778,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY IFE 6","4,240,600.00",199,0,0,"20,000.00",TRUE,0,,,
45,April,2070SA7F,P260301180751,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOSOGBO 5","4,240,254.00",367,0,0,"20,000.00",TRUE,0,,,
46,April,2070RU7Q,P260300852477,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY PORTHARCOURT","4,232,721.00",284,0,0,"20,000.00",TRUE,0,,,
47,April,2057XGUR,P260300328835,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKURE5","4,190,300.00",182,0,0,"20,000.00",TRUE,0,,,
48,April,2070HM1V,P260301128840,"BOVAS & COMPANY LIMITED -BOVAS AUST ABJ","4,180,591.00",240,0,0,"20,000.00",TRUE,0,,,
49,April,2070I9US,P260301345318,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY FELELE","4,136,830.00",471,0,0,"20,000.00",TRUE,0,,,
50,April,2057UGKU,P260301048682,"BOVAS & COMPANY LIMITED -Bovas And Company Ajibode","4,128,316.80",389,0,0,"20,000.00",TRUE,0,,,
51,April,2070RU7J,P260300852478,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OKENE1","4,085,310.00",116,0,0,"20,000.00",TRUE,0,,,
52,April,2057WWTD,P260301479831,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYIJOKODO","3,818,346.80",242,0,0,"20,000.00",TRUE,0,,,
53,April,2057AWBT,P260300670333,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY KONGI2","3,757,578.00",335,0,0,"20,000.00",TRUE,0,,,
54,April,2070762L,P260301205941,Marindoti concept,"3,675,650.00",116,"3,152,200.00",23,"20,000.00",TRUE,0,,,
55,April,20334XLN,P260300852469,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYADAMASIGBA","3,564,990.20",255,0,0,"20,000.00",TRUE,0,,,
56,April,2057XGUO,P260301745145,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY  OJOO","3,522,800.00",236,0,0,"20,000.00",TRUE,0,,,
57,April,2214T1H2,P260301759153,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY IJEBUODE","3,469,514.00",316,0,0,"20,000.00",TRUE,0,,,
58,April,2070AOYF,P260301216656,"BOVAS & COMPANY LIMITED -BOVAS AUST ABUJA","3,449,272.00",279,0,0,"20,000.00",TRUE,0,,,
59,April,2033OSQF,P260300230730,Voices Telecom 3,"3,421,600.00",34,"1,620,690.00",17,"20,000.00",TRUE,0,,,
60,April,20331HTL,P260300700716,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY KARU","3,294,376.00",185,0,0,"20,000.00",TRUE,0,,,
61,April,2057BWJK,P260301347826,LIME LIFE LIMITED,"3,243,300.00",34,0,0,"20,000.00",TRUE,0,,,
62,April,2057XGSX,P260301086250,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYIGBOORA 1","3,234,400.00",55,0,0,"20,000.00",TRUE,0,,,
63,April,2057UHLG,P260301626711,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OYO 4","3,184,097.00",186,0,0,"20,000.00",TRUE,0,,,
64,April,2070SG5D,P260301504640,"BOVAS & COMPANY LIMITED -BOVAS AUST ABUJA","3,172,410.00",259,0,0,"20,000.00",TRUE,0,,,
65,April,2070VO56,P260301219472,"Akanbi lukman olalekan NigeriaEnterprises - Akanbi Telecom 2","3,066,500.00",53,"3,582,500.00",16,"20,000.00",TRUE,0,,,
66,April,2070APKJ,P260301222506,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ITAOSHIN","3,042,550.50",325,0,0,"20,000.00",TRUE,0,,,
67,April,2057XGTQ,P260301085213,"BOVAS & COMPANY LIMITED -BOVAS AND COMAPNY IWOROAD","2,989,614.40",262,0,0,"20,000.00",TRUE,0,,,
68,April,2057UFHM,P260300806466,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AJASEIPO 1","2,984,800.00",328,0,0,"20,000.00",TRUE,0,,,
69,April,2070YI0T,P260300973771,FOODCO NIG ABEOKUTA 4,"2,893,346.00",309,0,0,"20,000.00",TRUE,0,,,
70,April,2057XGSH,P260301085211,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ONDO 4","2,893,253.00",247,0,0,"20,000.00",TRUE,0,,,
71,April,2033FVEK,P260300561706,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY KONGI2","2,833,606.80",182,0,0,"20,000.00",TRUE,0,,,
72,April,207020QZ,P260301092149,Akrom ventures,"2,810,500.00",28,"4,647,150.00",20,"20,000.00",TRUE,0,,,
73,April,2057DXTD,P260301626713,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ILESHA5","2,745,564.40",327,0,0,"20,000.00",TRUE,0,,,
74,April,2070F1XZ,P260300797999,Mutaokaf Venture,"2,720,050.00",70,"2,284,900.00",41,"20,000.00",TRUE,0,,,
75,April,2057XGSM,P260301671977,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY SOBIROAD","2,693,640.00",269,0,0,"20,000.00",TRUE,0,,,
76,April,2057ULOD,P260301085479,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOGBOMOSO 3","2,691,250.00",43,0,0,"20,000.00",TRUE,0,,,
77,April,207097CX,P260301262665,Oluseyi Ventures,"2,655,100.00",25,"7,474,000.00",7,"20,000.00",TRUE,0,,,
78,April,2070RZ7K,P260301331294,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OFFAGARAGE 2","2,614,442.00",276,0,0,"20,000.00",TRUE,0,,,
79,April,2057XGTH,P260301086240,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYIJESATEDO","2,607,134.00",126,0,0,"20,000.00",TRUE,0,,,
80,April,2057QG1B,P260301581188,Peacemax,"2,595,650.00",19,"2,993,200.00",18,"20,000.00",TRUE,0,,,
81,April,2070RY7A,P260301648371,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY IJAGBO","2,523,502.00",232,0,0,"20,000.00",TRUE,0,,,
82,April,2057UKTT,P260301188106,Cloud 7 Multi services 5,"2,490,850.00",51,0,0,"20,000.00",TRUE,0,,,
83,April,2057XGVB,P260301086259,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ENUGU","2,486,174.00",189,0,0,"20,000.00",TRUE,0,,,
84,April,2214NHN5,P260301759151,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY IJEBUODE","2,430,865.00",257,0,0,"20,000.00",TRUE,0,,,
85,April,2057XGTG,P260301761111,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ERUWA","2,427,900.00",192,0,0,"20,000.00",TRUE,0,,,
86,April,2070IZJU,P260301491688,"SUNRISE UNIVERSALINTEGRATED SUPERMARKET -SUNRISE PHARM","2,419,762.00",267,0,0,"20,000.00",TRUE,0,,,
87,April,2070YC0E,P260301560112,FOODCO NIG JERICHO 2,"2,324,809.54",204,0,0,"20,000.00",TRUE,0,,,
88,April,2070ANRN,P260301222507,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OWO","2,221,100.00",114,0,0,"20,000.00",TRUE,0,,,
89,April,2070V9JF,P260301816260,Zartech Bodija Outlet,"2,174,734.00",104,0,0,"20,000.00",TRUE,0,,,
90,April,2070YV0J,P260300973773,FOODCO NIG ARULOGUN 1,"2,153,876.85",440,0,0,"20,000.00",TRUE,0,,,
91,April,2070AEFX,P260301216648,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY DUGBE","2,087,258.00",185,0,0,"20,000.00",TRUE,0,,,
92,April,2070HNWQ,P260301645862,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYIJOKODO","2,034,348.00",148,0,0,"20,000.00",TRUE,0,,,
93,April,2070XZ0K,P260300992588,FOODCO NIG ABEOKUTA 1,"2,026,093.00",228,0,0,"20,000.00",TRUE,0,,,
94,April,20338BHJ,P260301195378,"SUNRISE UNIVERSALINTEGRATED SUPERMARKET -SUNRISE PHARMACY","2,024,540.00",403,0,0,"20,000.00",TRUE,0,,,
95,April,2033X22Z,P260300784157,Solat Telecoms Iwo road,"2,020,700.00",21,0,0,"20,000.00",TRUE,0,,,
96,April,2057ULOM,P260300805123,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ALIWO","1,948,118.00",180,0,0,"20,000.00",TRUE,0,,,
97,April,2057XGVG,P260301086121,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYYEMETU","1,932,049.00",199,0,0,"20,000.00",TRUE,0,,,
98,April,2070YI0P,P260300973766,FOODCO NIG JERICHO 1,"1,920,683.27",175,0,0,"20,000.00",TRUE,0,,,
99,April,2070RY7T,P260300852463,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY BIDA","1,888,067.00",128,0,0,"20,000.00",TRUE,0,,,
100,April,2070220V,P260301555079,Voices telecom,"1,865,430.00",58,"1,430,000.00",4,"20,000.00",TRUE,0,,,
101,April,2070WU0D,P260300992803,FOOCO NIG OLOGUNERU 1,"1,829,496.00",265,0,0,"20,000.00",TRUE,0,,,
102,April,2033ZQM5,P260301331296,Ralph Global Services,"1,804,080.00",72,"4,362,900.00",2,"20,000.00",TRUE,0,,,
103,April,2057AUCS,P260301270627,LIME LIFE 2,"1,728,500.00",29,0,0,"20,000.00",TRUE,0,,,
104,April,20335ML1,P260301183917,"SUNRISE UNIVERSALINTEGRATED SUPERMARKET -SUNRISE PHARMACY","1,724,630.00",254,0,0,"20,000.00",TRUE,0,,,
105,April,2070WW13,P260300065480,NY Ventures,"1,717,400.00",33,"1,913,600.00",30,"20,000.00",TRUE,0,,,
106,April,2057VBDY,P260300793816,T Money,"1,656,500.00",14,"1,871,600.00",6,"20,000.00",TRUE,0,,,
107,April,2070O3NG,P260301172679,FOODCO NIG LTD RING ROAD 1,"1,630,187.13",188,0,0,"20,000.00",TRUE,0,,,
108,April,2057UHLC,P260300076244,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKOBO1","1,624,350.00",141,0,0,"20,000.00",TRUE,0,,,
109,April,2070352Y,P260300825390,Susscare Enterprises,"1,589,700.00",44,"1,369,600.00",16,"20,000.00",TRUE,0,,,
110,April,2070XU19,P260300572092,Kab Plus Multi Services,"1,561,431.00",8,"1,426,000.00",3,"20,000.00",TRUE,0,,,
111,April,2070WU0A,P260300992805,FOODCO NIG LEKKI 2,"1,557,045.58",168,0,0,"20,000.00",TRUE,0,,,
112,April,2070INOF,P260301555465,Events By COPA 2,"1,536,900.00",12,0,0,"20,000.00",TRUE,0,,,
113,April,2070L9FC,P260300700655,Ace Ogbomosho Supermarket,"1,514,763.00",212,0,0,"20,000.00",TRUE,0,,,
114,April,2033NVQ2,P260301164478,Markosh Technologies,"1,511,750.00",105,"876,900.00",6,"20,000.00",TRUE,0,,,
115,April,2070ZB0U,P260301560113,FOODCO NIG AKALA 2,"1,505,251.35",202,0,0,"20,000.00",TRUE,0,,,
116,April,2070I9DJ,P260300700710,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY KONGILPG","1,466,500.00",143,0,0,"20,000.00",TRUE,0,,,
117,April,2070JJZJ,P260301555464,"SUNRISE UNIVERSALINTEGRATED SUPERMARKET -SUNRISE PHARM","1,423,349.00",171,0,0,"20,000.00",TRUE,0,,,
118,April,2070ZC0F,P260301345852,FOODCO NIG AKALA 1,"1,364,472.70",196,0,0,"20,000.00",TRUE,0,,,
119,April,22143DCD,P260301731687,Mighty Glory 4,"1,357,700.00",132,"531,400.00",22,"20,000.00",TRUE,0,,,
120,April,2070GKV1,P260300693709,Dammy Ventures,"1,346,600.00",42,"1,922,200.00",9,"20,000.00",TRUE,0,,,
121,April,2033TLJ4,P260300497469,DOA Ventures,"1,341,200.00",7,"4,442,000.00",7,"20,000.00",TRUE,0,,,
122,April,2070RY7C,P260301163604,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ISEYIN","1,334,322.00",64,0,0,"20,000.00",TRUE,0,,,
123,April,2070W2GV,P260301192936,SAO MOWE 7,"1,301,309.93",103,0,0,"20,000.00",TRUE,0,,,
124,April,2070YI0Y,P260300992810,FOODCO NIG AKOBO 4,"1,278,495.11",398,0,0,"20,000.00",TRUE,0,,,
125,April,2070DRGS,P260301731689,Optimum Drinks 2,"1,261,750.00",6,0,0,"20,000.00",TRUE,0,,,
126,April,2070YA0C,P260300992591,FOODCO NIG BODIJA 6,"1,258,613.17",188,0,0,"20,000.00",TRUE,0,,,
127,April,2070O5SA,P260300443515,EVENTS BY COPA,"1,255,700.00",7,0,0,"20,000.00",TRUE,0,,,
128,April,2070YS0K,P260300973770,FOODCO NIG ABEOKUTA 5,"1,238,239.00",288,0,0,"20,000.00",TRUE,0,,,
129,April,2070YW0U,P260300992806,FOODCO NIG LEKKI 3,"1,236,566.11",137,0,0,"20,000.00",TRUE,0,,,
130,April,2070UUF9,P260301195530,SAO MOWE 9,"1,223,775.00",102,0,0,"20,000.00",TRUE,0,,,
131,April,2070C4OH,P260300724043,Ace Ile ife Supermarket 2,"1,221,505.00",218,0,0,"20,000.00",TRUE,0,,,
132,April,2070XR73,P260300599565,His Mercy Ventures,"1,220,250.00",103,"1,191,300.00",29,"20,000.00",TRUE,0,,,
133,April,2033TIK6,P260301040860,Hasolas venture,"1,167,770.00",34,"1,503,500.00",26,"20,000.00",TRUE,0,,,
134,April,2033OVV5,P260300523167,Mr Wisdom,"1,157,600.00",278,"64,500.00",12,"20,000.00",TRUE,0,,,
135,April,2070QAR9,P260301351883,Ace Oluyole Supermarket 3,"1,153,705.00",139,0,0,"20,000.00",TRUE,0,,,
136,April,2070ZA0R,P260300973761,FOODCO NIG JERICHO 3,"1,138,313.90",129,0,0,"20,000.00",TRUE,0,,,
137,April,2070D2AI,P260300797831,Solat Telecoms Marina,"1,124,200.00",12,0,0,"20,000.00",TRUE,0,,,
138,April,2057TZMX,P260300735763,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY KONGI","1,122,139.00",81,0,0,"20,000.00",TRUE,0,,,
139,April,2070YA0K,P260301582028,FOODCO NIG BODIJA 3,"1,109,176.68",181,0,0,"20,000.00",TRUE,0,,,
140,April,2070YC0K,P260300973767,FOODCO NIG JERICHO 6,"1,095,970.00",269,0,0,"20,000.00",TRUE,0,,,
141,April,2070O3NB,P260300492437,FOODCO NIG RING ROAD 5,"1,066,780.00",358,0,0,"20,000.00",TRUE,0,,,
142,April,2070YF0Q,P260300992801,FOODCO NIG LEKKI 5,"1,010,770.00",250,0,0,"20,000.00",TRUE,0,,,
143,April,2070ELLH,P260301467753,"Mosh pharm n supermarketiletuntun 3","982,740.00",208,0,0,"20,000.00",TRUE,0,,,
144,April,2070IL4R,P260301189419,FOODCO NIG ADEGBAYI 5,"977,500.00",278,0,0,"20,000.00",TRUE,0,,,
145,April,2070JV4R,P260301189418,FOODCO NIGERIA ADEGBAYI 1,"962,603.00",149,0,0,"20,000.00",TRUE,0,,,
146,April,2070YA0M,P260300973762,FOODCO NIG AKOBO 1,"939,811.66",118,0,0,"20,000.00",TRUE,0,,,
147,April,2070O3NS,P260300746746,FOODCO NIG IKOYI 1,"932,612.02",113,0,0,"20,000.00",TRUE,0,,,
148,April,2070E1MU,P260301651848,Mum Rashidat Store,"915,250.00",54,"682,450.00",6,"20,000.00",TRUE,0,,,
149,April,2070T3RD,P260301192935,SAO MOWE 8,"914,478.00",74,0,0,"20,000.00",TRUE,0,,,
150,April,2070392X,P260301123328,Nikk MP,"912,350.00",33,"1,426,750.00",25,"20,000.00",TRUE,0,,,
151,April,2070RU7U,P260300852475,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYSAWMILL","909,350.00",102,0,0,"20,000.00",TRUE,0,,,
152,April,2070AFVS,P260301198760,Money World Ventures 6,"907,350.00",119,"114,800.00",20,"20,000.00",TRUE,0,,,
153,April,2057XGTM,P260301086129,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OYO 3","905,700.00",38,0,0,"20,000.00",TRUE,0,,,
154,April,2033TILW,P260301170060,Hamine Super Stores,"897,860.80",160,0,0,"20,000.00",TRUE,0,,,
155,April,2070X3ZS,P260300797832,Mudashir 2 Venture,"887,400.00",4,"757,700.00",18,"20,000.00",TRUE,0,,,
156,April,2070ATHW,P260301351882,Ace Oyo Supermarket 3,"887,235.00",168,0,0,"20,000.00",TRUE,0,,,
157,April,207002VE,P260301642797,Olatilewa Aj Ventures,"876,900.00",108,"965,300.00",35,"20,000.00",TRUE,0,,,
158,April,2057YPDG,P260301165948,Dang Lifestyle 3,"868,595.75",22,0,0,"20,000.00",TRUE,0,,,
159,April,2070M9OQ,P260301328746,BUMAD NIG,"863,500.00",126,0,0,"20,000.00",TRUE,0,,,
160,April,20336YL7,P260300807490,Optimum Drinks,"859,450.00",13,0,0,"20,000.00",TRUE,0,,,
161,April,2057XGTO,P260301086127,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ITAOSHIN","844,671.00",73,0,0,"20,000.00",TRUE,0,,,
162,April,2057XGSU,P260301642799,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ILEOLUJI","841,300.00",10,0,0,"20,000.00",TRUE,0,,,
163,April,2070M9OG,P260300700842,Decent Ken Nig 2,"830,950.00",96,"897,900.00",5,"20,000.00",TRUE,0,,,
164,April,2070XR28,P260301164476,Lesekese Concept,"817,200.00",29,0,0,"20,000.00",TRUE,0,,,
165,April,2070XH4V,P260301205943,"Mosh Pharmacy and Supermarket10","810,545.00",171,0,0,"20,000.00",TRUE,0,,,
166,April,20336BU5,P260300452127,"D REAL BARRYWHITE GLOBALCONCEPT - BarryWhite Ventures","798,800.00",104,"159,700.00",18,"20,000.00",TRUE,0,,,
167,April,2070V3PN,P260300856946,Ajibola Telecom 2,"793,750.00",86,"145,500.00",13,"20,000.00",TRUE,0,,,
168,April,2070076E,P260300254660,"SUNRISE UNIVERSALINTEGRATED SUPERMARKET -Sunrise Supermarket Bodija","786,080.00",122,0,0,"20,000.00",TRUE,0,,,
169,April,2070MJT5,P260300432933,Olaoluwa Fish company 3,"783,250.00",8,"768,000.00",3,"20,000.00",TRUE,0,,,
170,April,2070O7NO,P260300613067,"Mosh Pharmacy and SupermarketBodija 2","777,420.00",87,0,0,"20,000.00",TRUE,0,,,
171,April,207070WJ,P260300458171,Finrel Olorunsogo,"762,638.00",136,0,0,"20,000.00",TRUE,0,,,
172,April,20331FYE,P260301040111,Ibadan Chinese Restaurant,"746,914.50",25,0,0,"20,000.00",TRUE,0,,,
173,April,2070ZA0F,P260300973779,FOODCO NIG IDI ABA 2,"737,332.00",167,0,0,"20,000.00",TRUE,0,,,
174,April,2070795X,P260300305708,Money World Ventures 7,"734,900.00",114,"61,600.00",8,"20,000.00",TRUE,0,,,
175,April,2057TTBF,P260300803815,Mummy Ishola Provision Store,"733,030.00",24,"493,860.00",1,"20,000.00",TRUE,0,,,
176,April,2057MRSO,P260301582020,Oriowo Ventures,"729,100.00",87,"862,500.00",7,"20,000.00",TRUE,0,,,
177,April,20335EHV,P260301043762,Bayleaf Lounge Akobo,"724,400.00",32,"1,131,774.82",1,"20,000.00",TRUE,0,,,
178,April,2070O3ND,P260301816261,FOODCO NIG RINGROAD 6,"719,190.00",222,0,0,"20,000.00",TRUE,0,,,
179,April,2057XGTC,P260301086242,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYSOKOTO","712,700.00",31,0,0,"20,000.00",TRUE,0,,,
180,April,2070N123,P260301347828,Ali Time Venture,"697,000.00",39,"1,415,000.00",30,"20,000.00",TRUE,0,,,
181,April,2033QBN6,P260301195526,Ola-Tem business Ventures,"690,900.00",29,"690,200.00",6,"20,000.00",TRUE,0,,,
182,April,2070WT0V,P260300973778,FOODCO NIG ABEOKUTA 7,"685,578.00",116,0,0,"20,000.00",TRUE,0,,,
183,April,2057YPDA,P260301165945,Dang Lifestyle ltd,"680,194.80",17,0,0,"20,000.00",TRUE,0,,,
184,April,2070YB0U,P260300992594,FOOCO NIG BODIJA 1,"674,325.00",153,0,0,"20,000.00",TRUE,0,,,
